epoch,back,bill_base,bill_end,loss,lr,neck_base,tail,val_back,val_bill_base,val_bill_end,val_loss,val_neck_base,val_tail
0,0.00461488775908947,0.005754544865339994,0.003674216801300645,0.005764880683273077,1e-04,0.007637357339262962,0.007143402937799692,0.0004667670582421124,0.005914756096899509,0.003948158584535122,0.004906535614281893,0.007314874324947596,0.006888122763484716
1,0.0004340159357525408,0.00556650897487998,0.003622641321271658,0.004574849735945463,1e-04,0.0071553741581737995,0.0060957008972764015,0.0007159391534514725,0.005423077382147312,0.00407950347289443,0.004287356045097113,0.006156367715448141,0.005061893258243799
2,0.00048469987814314663,0.005115651525557041,0.0035574412904679775,0.003997210878878832,1e-04,0.006436393596231937,0.004391873721033335,0.0004273609956726432,0.004868915304541588,0.0040033478289842606,0.003772438270971179,0.005646410398185253,0.003916155081242323
3,0.0003624082019086927,0.004018676467239857,0.003002219833433628,0.0030783021356910467,1e-04,0.00504763238132,0.002960571786388755,0.00014223360631149262,0.004198024515062571,0.0027778029907494783,0.003048879560083151,0.0054302578791975975,0.002696076175197959
4,0.00029340852051973343,0.0034781640861183405,0.0026644293684512377,0.0027060708962380886,1e-04,0.004495189059525728,0.002599161583930254,0.00014781433856114745,0.003370217513293028,0.0026773849967867136,0.0026735293213278055,0.004029559437185526,0.003142670262604952
5,0.0002223525516455993,0.0030996808782219887,0.002328556962311268,0.0023989558685570955,1e-04,0.00409004045650363,0.0022541473153978586,0.0001388927921652794,0.003585814032703638,0.0028044413775205612,0.002559201093390584,0.004081491846591234,0.0021853663492947817
6,0.00019948264525737613,0.002913108328357339,0.0021863915026187897,0.002259346889331937,1e-04,0.0038646156899631023,0.0021331377793103456,0.00014796796313021332,0.002670553745701909,0.0023107919842004776,0.002174822613596916,0.003702905960381031,0.002041894244030118
7,0.0001650622725719586,0.0027075738180428743,0.002132830675691366,0.0021123250480741262,1e-04,0.003661841619759798,0.0018943141913041472,7.05463535268791e-05,0.002586610149592161,0.0021873570512980223,0.0021296381019055843,0.0036433024797588587,0.00216037523932755
8,0.00016181722457986325,0.002525836229324341,0.0019860512111335993,0.0020153592340648174,1e-04,0.0035612762439996004,0.001841814024373889,0.0004234911466483027,0.002873470075428486,0.002531781094148755,0.002297197235748172,0.0036332979798316956,0.0020239469595253468
9,0.00018651978462003171,0.0023997249081730843,0.0018666605465114117,0.001917656627483666,1e-04,0.0033985392656177282,0.0017368389526382089,0.0002939426922239363,0.002714978763833642,0.0021302185487002134,0.0021071364171802998,0.0034207403659820557,0.001975803403183818
10,0.00014192516391631216,0.002265023300424218,0.0017496111104264855,0.0018168058013543487,1e-04,0.003257348434999585,0.0016701226122677326,7.81035705585964e-05,0.0020667847711592913,0.0015418870607391,0.0016583228716626763,0.002962631406262517,0.0016422076150774956
11,0.0001282257289858535,0.0020882009994238615,0.001664725481532514,0.0017267813673242927,1e-04,0.0031368217896670103,0.0016159305814653635,0.00011230381642235443,0.0022565689869225025,0.0017372308066114783,0.001767971320077777,0.0030519883148372173,0.001681764144450426
12,0.00011384631943656132,0.0019989509601145983,0.001533761853352189,0.001638025394640863,1e-04,0.003070290433242917,0.0014732806012034416,9.734883497003466e-05,0.002142091980203986,0.0017859332729130983,0.0017203183379024267,0.002939046360552311,0.001637171721085906
13,0.00012138653255533427,0.0019497774774208665,0.0015732892788946629,0.0016058265464380383,1e-04,0.0029082109685987234,0.0014764672378078103,0.00010797197319334373,0.0019907522946596146,0.0014554877998307347,0.00162680319044739,0.00291093229316175,0.0016688714968040586
14,0.00012232745939400047,0.001815081457607448,0.0014263930497691035,0.0015206545358523726,1e-04,0.002847318071871996,0.001392156584188342,0.00011361832002876326,0.0021908420603722334,0.001521526137366891,0.0016639240784570575,0.00283380807377398,0.0016598254442214966
15,0.00011181935406057164,0.0018123131012544036,0.0014431581366807222,0.0014965895097702742,1e-04,0.0027332622557878494,0.0013823948102071881,0.00013767254131380469,0.0018766502616927028,0.0012729133013635874,0.0015552096301689744,0.002930660732090473,0.0015581520274281502
16,0.00010823701450135559,0.0016544901300221682,0.001333450898528099,0.0014138375408947468,1e-04,0.002611277624964714,0.0013617331860587,7.014997390797362e-05,0.0017517233500257134,0.0013365610502660275,0.0014312048442661762,0.002633316209539771,0.0013642744161188602
17,0.00011171805090270936,0.00163553049787879,0.001273707253858447,0.001376276253722608,1e-04,0.0025156731717288494,0.001344751683063805,0.0001592121843714267,0.0018470770446583629,0.001499371835961938,0.0015199773479253054,0.002515491796657443,0.0015787322772666812
18,0.00010487798135727644,0.0016132569871842861,0.0012753874761983752,0.001357482047751546,1e-04,0.002447458216920495,0.0013464288786053658,0.00012604266521520913,0.0020102793350815773,0.0015689561842009425,0.0015555261634290218,0.002598122227936983,0.0014742305502295494
19,0.00013089027197565883,0.0014984247973188758,0.0011800997890532017,0.0012962144101038575,1e-04,0.0023897106293588877,0.0012819466646760702,5.02569782838691e-05,0.001800782629288733,0.001283230260014534,0.0013924879021942616,0.002418861258774996,0.0014093097997829318
20,9.987992962123826e-05,0.0015447960468009114,0.001242928788997233,0.0012920129811391234,1e-04,0.002310290699824691,0.0012621701462194324,0.00014586863107979298,0.0018366728909313679,0.0013157620560377836,0.001512595685198903,0.0028463166672736406,0.0014183585299178958
21,9.40102618187666e-05,0.0014893172774463892,0.0011581844883039594,0.0012518761213868856,1e-04,0.002273310674354434,0.001244555925950408,6.918239523656666e-05,0.0015465280739590526,0.00111757917329669,0.0012772680493071675,0.002334736520424485,0.0013183137634769082
22,8.697194425622001e-05,0.0014061072142794728,0.0011721824994310737,0.0012170143891125917,1e-04,0.002212726743891835,0.001207084278576076,5.9594738559098914e-05,0.0015582151245325804,0.001125164097175002,0.0012745644198730588,0.0023689200170338154,0.0012609278783202171
23,9.785428119357675e-05,0.0014072111807763577,0.0011313454015180469,0.0011954609071835876,1e-04,0.0021475714165717363,0.0011933243367820978,6.0859714722028e-05,0.001473081880249083,0.0010505102109164,0.0012032570084556937,0.002257634187117219,0.001174200209788978
24,8.077446545939893e-05,0.0013876378070563078,0.0010915115708485246,0.0011559216072782874,1e-04,0.0020901851821690798,0.0011295020813122392,5.237392906565219e-05,0.0014036775100976229,0.0010734143434092402,0.0011849112343043089,0.002103150589391589,0.0012919401051476598
25,7.158488733693957e-05,0.0012957471190020442,0.0010308126220479608,0.0011116012465208769,1e-04,0.002033061580732465,0.0011267983354628086,5.1223745686002076e-05,0.001440355903469026,0.0009629927226342261,0.0011781129287555814,0.0022558229975402355,0.001180168823339045
26,7.615227514179423e-05,0.0012624241644516587,0.0010500303469598293,0.0010921566281467676,1e-04,0.001947483280673623,0.0011246927315369248,6.546966324094683e-05,0.0013317755656316876,0.001078154076822102,0.0012241331860423088,0.0022692240308970213,0.0013760426081717014
27,7.793706026859581e-05,0.0012639056658372283,0.0010403984924778342,0.0010894096922129393,1e-04,0.001939250505529344,0.0011255565332248807,5.881466131540947e-05,0.0013410563115030527,0.0009898410644382238,0.0011522994609549642,0.0021328984294086695,0.0012388861505314708
28,7.368501974269748e-05,0.0012266294797882438,0.0009428129415027797,0.001067576464265585,1e-04,0.0019465357763692737,0.0011482199188321829,0.00010471173300174996,0.0013603861443698406,0.0009983100462704897,0.0011667156359180808,0.002185132121667266,0.0011850388254970312
29,6.647702684858814e-05,0.0012552677653729916,0.0009842785075306892,0.0010599317029118538,1e-04,0.0019036057638004422,0.0010900304187089205,4.3237268982920796e-05,0.001208544592373073,0.0008883747505024076,0.0010567205026745796,0.001954816048964858,0.0011886305874213576
30,6.107793160481378e-05,0.0011868225410580635,0.0009626544779166579,0.0010169940069317818,1e-04,0.0018250042339786887,0.0010494121816009283,5.745353701058775e-05,0.001265666214749217,0.0009458094136789441,0.0010804071789607406,0.0018642256036400795,0.0012688811402767897
