epoch,base_beak,center_back,loss,lr,tail,tip_beak,val_base_beak,val_center_back,val_loss,val_tail,val_tip_beak
0,0.008179601281881332,0.006377970799803734,0.007948816753923893,1e-04,0.009176917374134064,0.008060785941779613,0.009096312336623669,0.002206579316407442,0.007281092461198568,0.00824716780334711,0.009574313648045063
1,0.00774684501811862,0.0012075697304680943,0.005855475086718798,1e-04,0.00667548319324851,0.007792010437697172,0.008029759861528873,0.0006264944677241147,0.005775294732302427,0.005767497234046459,0.008677426725625992
2,0.007554664742201567,0.0006851775688119233,0.005192290525883436,1e-04,0.004722769372165203,0.0078065465204417706,0.007913162931799889,0.0008679392631165683,0.004963405430316925,0.002563297748565674,0.008509223349392414
3,0.007422245107591152,0.0006970858667045832,0.005549085326492786,1e-04,0.006609342060983181,0.007467658258974552,0.007584407925605774,0.0003198568883817643,0.004753459710627794,0.002820755820721388,0.00828881561756134
4,0.0066675348207354546,0.0006952901603654027,0.004460528958588839,1e-04,0.0033696575555950403,0.007109630852937698,0.006734909955412149,0.0008560533751733601,0.0043298015370965,0.002552950056269765,0.007175291422754526
5,0.006089911796152592,0.0008528073085471988,0.004164550453424454,1e-04,0.0032559242099523544,0.006459562573581934,0.006376751232892275,0.0005853764014318585,0.0043647876009345055,0.003503856249153614,0.006993163842707872
6,0.0060982429422438145,0.0007562183309346437,0.004121309146285057,1e-04,0.0033058428671211004,0.006324925925582647,0.0069609456695616245,0.0005738049512729049,0.0043630958534777164,0.002397193806245923,0.0075204381719231606
7,0.005384561140090227,0.0006487782811746001,0.0036165863275527954,1e-04,0.0027159196324646473,0.005717091262340546,0.004944284912198782,0.0001762129395501688,0.003025225130841136,0.0016623340779915452,0.005318068899214268
8,0.005587822292000055,0.0003862108278553933,0.003472515381872654,1e-04,0.0022197088692337275,0.005696322303265333,0.004293175879865885,0.0002582843881100416,0.0027692834846675396,0.0017867732094600797,0.0047389003448188305
9,0.005121615249663591,0.0003015926340594888,0.003285072511062026,1e-04,0.0023287038784474134,0.005388379096984863,0.0067401789128780365,0.0002006631257245317,0.003832482732832432,0.0017303480999544263,0.006658740807324648
10,0.004653215873986483,0.0005271749687381089,0.003094736021012068,1e-04,0.0022211791947484016,0.004977376665920019,0.0031712104100733995,0.00021762598771601915,0.002316270489245653,0.0017362834187224507,0.004139963071793318
11,0.004652650095522404,0.00022466575319413096,0.0028624958358705044,1e-04,0.001919176196679473,0.004653493873775005,0.005363620817661285,0.00016781713929958642,0.0031764968298375607,0.0013403359334915876,0.005834212526679039
12,0.004559675697237253,0.00019053519645240158,0.0027910787612199783,1e-04,0.0017251293174922466,0.00468897819519043,0.005562337581068277,0.00026529919705353677,0.0032224408350884914,0.0022136184852570295,0.004848507698625326
13,0.004239037167280912,0.0001911681320052594,0.002658064942806959,1e-04,0.0018290654988959432,0.004372987896203995,0.004364716820418835,0.0005154621321707964,0.002671913942322135,0.000985667109489441,0.0048218113370239735
